epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,5277.53,1.09496,0.92645,0.00359,0.81136,0.74124,0.81162,0.66115,0.78761,0.75055,0.0037,0.0011829,0.0011829,0.0011829
90,5344.81,1.04865,0.9118,0.00339,0.8403,0.73877,0.81404,0.66063,0.81634,0.74873,0.00388,0.0011774,0.0011774,0.0011774
91,5410.72,1.07319,0.91842,0.00339,0.82075,0.74449,0.81334,0.65824,0.83263,0.74419,0.00402,0.0011719,0.0011719,0.0011719
92,5478.62,1.11377,0.92435,0.00352,0.8201,0.73669,0.80577,0.64584,0.86847,0.74403,0.00438,0.0011664,0.0011664,0.0011664
93,5546.44,1.05951,0.90749,0.00346,0.84314,0.72523,0.80836,0.65999,0.82893,0.77161,0.00413,0.0011609,0.0011609,0.0011609
94,5615.68,1.06956,0.93105,0.00359,0.85176,0.7195,0.81296,0.66274,0.8191,0.7572,0.00403,0.0011554,0.0011554,0.0011554
95,5682.55,1.10066,0.92973,0.00351,0.84744,0.73545,0.81699,0.67011,0.81816,0.74812,0.00394,0.0011499,0.0011499,0.0011499
96,5749.25,1.06563,0.90445,0.00331,0.84442,0.73771,0.81548,0.6645,0.83661,0.77045,0.00406,0.0011444,0.0011444,0.0011444
97,5815.89,1.05214,0.88922,0.00334,0.85243,0.72998,0.81592,0.67156,0.79188,0.71669,0.00381,0.00113889,0.00113889,0.00113889
98,5882,1.03058,0.88445,0.00333,0.83591,0.73597,0.81652,0.66766,0.79975,0.74313,0.00368,0.00113339,0.00113339,0.00113339
99,5950.08,1.07414,0.92036,0.00353,0.84115,0.74103,0.81842,0.67259,0.77561,0.71584,0.00372,0.00112789,0.00112789,0.00112789
100,6015.99,1.0718,0.9013,0.00335,0.83478,0.73889,0.81414,0.65767,0.82812,0.77132,0.00382,0.00112239,0.00112239,0.00112239
101,6082.6,1.07917,0.92193,0.00355,0.84031,0.72834,0.81427,0.66648,0.80314,0.76676,0.00373,0.00111689,0.00111689,0.00111689
102,6149.81,1.04228,0.90988,0.00348,0.83484,0.72715,0.81353,0.6682,0.79324,0.7316,0.00395,0.00111139,0.00111139,0.00111139
103,6215.93,1.04731,0.89067,0.0033,0.86414,0.7194,0.81595,0.66723,0.79313,0.74397,0.0038,0.00110589,0.00110589,0.00110589
104,6281.93,1.04215,0.89095,0.00333,0.83263,0.73366,0.8087,0.65436,0.82629,0.74981,0.0038,0.00110039,0.00110039,0.00110039
105,6349.27,1.06162,0.90577,0.00337,0.84078,0.72232,0.81349,0.66718,0.79873,0.74441,0.00378,0.00109489,0.00109489,0.00109489
106,6414.87,1.01828,0.87017,0.00321,0.84707,0.72347,0.81185,0.66554,0.79494,0.73228,0.00373,0.00108938,0.00108938,0.00108938
107,6481.13,1.02561,0.87884,0.00321,0.84141,0.73369,0.81473,0.67409,0.76386,0.74689,0.00344,0.00108388,0.00108388,0.00108388
108,6547.44,1.03119,0.9005,0.00338,0.85319,0.7306,0.81415,0.67328,0.77939,0.76601,0.00373,0.00107838,0.00107838,0.00107838
