epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3820.65,1.34453,0.82609,0.00386,0.77353,0.64766,0.72527,0.50684,1.20482,0.83437,0.00506,0.00120491,0.00120491,0.00120491
86,3865.05,1.34678,0.83478,0.00387,0.76661,0.64723,0.72077,0.51049,1.19693,0.826,0.00506,0.00119941,0.00119941,0.00119941
87,3909.52,1.34854,0.83629,0.00396,0.77453,0.64454,0.72339,0.51311,1.20237,0.80712,0.00534,0.00119391,0.00119391,0.00119391
88,3954.12,1.35469,0.82894,0.00383,0.78456,0.64096,0.72936,0.51517,1.24204,0.8404,0.00558,0.0011884,0.0011884,0.0011884
89,3999.14,1.31147,0.8269,0.00386,0.79763,0.62898,0.72185,0.50827,1.28353,0.84371,0.00576,0.0011829,0.0011829,0.0011829
90,4044.54,1.3475,0.82921,0.00391,0.76963,0.65597,0.72628,0.52374,1.23623,0.79375,0.00567,0.0011774,0.0011774,0.0011774
91,4089.71,1.33268,0.83611,0.00383,0.77871,0.64556,0.71957,0.51455,1.21309,0.8517,0.00536,0.0011719,0.0011719,0.0011719
92,4134.75,1.30961,0.82734,0.00393,0.80347,0.63579,0.72788,0.52245,1.20966,0.76602,0.00528,0.0011664,0.0011664,0.0011664
93,4180.6,1.3422,0.82197,0.00388,0.80008,0.65897,0.7307,0.52274,1.18106,0.80736,0.00518,0.0011609,0.0011609,0.0011609
94,4225.93,1.32481,0.8219,0.0039,0.78307,0.65078,0.73377,0.53267,1.14644,0.77726,0.00493,0.0011554,0.0011554,0.0011554
95,4270.89,1.3343,0.81471,0.00396,0.79064,0.64359,0.72794,0.50749,1.21408,0.85287,0.00532,0.0011499,0.0011499,0.0011499
96,4316.03,1.34082,0.81752,0.00384,0.80144,0.63685,0.7301,0.51447,1.21927,0.81033,0.00529,0.0011444,0.0011444,0.0011444
97,4360.06,1.31458,0.83204,0.00395,0.79253,0.63857,0.7238,0.51367,1.20193,0.83574,0.00538,0.00113889,0.00113889,0.00113889
98,4405.48,1.34799,0.82838,0.00395,0.7825,0.64526,0.72509,0.51846,1.21413,0.82868,0.00524,0.00113339,0.00113339,0.00113339
99,4449.75,1.30324,0.81514,0.00377,0.78504,0.64895,0.73009,0.51167,1.25534,0.79718,0.00559,0.00112789,0.00112789,0.00112789
100,4494.47,1.33541,0.81716,0.00386,0.79685,0.63784,0.72574,0.5175,1.19547,0.82231,0.0053,0.00112239,0.00112239,0.00112239
101,4539.07,1.30167,0.81824,0.00387,0.79878,0.6487,0.72822,0.52534,1.18555,0.80429,0.00517,0.00111689,0.00111689,0.00111689
102,4582.64,1.31817,0.81274,0.00388,0.77581,0.65239,0.7352,0.53017,1.22295,0.77422,0.00524,0.00111139,0.00111139,0.00111139
103,4631.81,1.2944,0.80254,0.00371,0.79655,0.65742,0.73458,0.53548,1.21119,0.78035,0.00557,0.00110589,0.00110589,0.00110589
104,4680.12,1.2906,0.80353,0.00378,0.78091,0.65549,0.72973,0.51243,1.25806,0.79728,0.00549,0.00110039,0.00110039,0.00110039
105,4724.99,1.33952,0.80918,0.00378,0.78243,0.65402,0.73017,0.52324,1.18242,0.84353,0.00506,0.00109489,0.00109489,0.00109489
106,4769.51,1.30301,0.81515,0.00377,0.78145,0.65618,0.72668,0.51171,1.18589,0.86207,0.005,0.00108938,0.00108938,0.00108938
107,4813.71,1.33766,0.81733,0.00384,0.81184,0.64573,0.73319,0.51163,1.24573,0.78617,0.0055,0.00108388,0.00108388,0.00108388
108,4858.11,1.31304,0.80915,0.00387,0.79274,0.65543,0.73503,0.52338,1.22008,0.77125,0.00537,0.00107838,0.00107838,0.00107838
109,4901.89,1.32461,0.80418,0.00384,0.77056,0.66134,0.73477,0.52963,1.15332,0.80631,0.00503,0.00107288,0.00107288,0.00107288
110,4945.92,1.30858,0.8035,0.00379,0.78864,0.65491,0.731,0.52946,1.17862,0.75497,0.00518,0.00106738,0.00106738,0.00106738
111,4990.13,1.31773,0.80123,0.00387,0.78086,0.6677,0.74092,0.53257,1.18832,0.75344,0.00544,0.00106188,0.00106188,0.00106188
112,5035.09,1.30632,0.80444,0.00372,0.79453,0.65552,0.7387,0.53024,1.18912,0.77543,0.00527,0.00105638,0.00105638,0.00105638
113,5079.63,1.29734,0.7969,0.00379,0.79798,0.65415,0.73975,0.53428,1.18798,0.76098,0.00528,0.00105088,0.00105088,0.00105088
114,5124.23,1.30073,0.80004,0.00374,0.79545,0.66111,0.74148,0.53016,1.16621,0.80969,0.0051,0.00104538,0.00104538,0.00104538
115,5168.4,1.32489,0.79747,0.00377,0.7911,0.65425,0.7269,0.51391,1.2051,0.83438,0.00509,0.00103987,0.00103987,0.00103987
116,5213.48,1.30746,0.79959,0.00375,0.78294,0.65996,0.73508,0.5248,1.19735,0.77663,0.00536,0.00103437,0.00103437,0.00103437
117,5258.02,1.2814,0.7896,0.00374,0.78954,0.67524,0.74187,0.52996,1.20644,0.7425,0.0055,0.00102887,0.00102887,0.00102887
118,5302.04,1.27993,0.80025,0.00375,0.78939,0.66779,0.73604,0.53439,1.17556,0.7708,0.00508,0.00102337,0.00102337,0.00102337
119,5346.83,1.29184,0.80126,0.00369,0.79163,0.66293,0.74342,0.53966,1.12363,0.79821,0.00479,0.00101787,0.00101787,0.00101787
120,5391.68,1.28052,0.79906,0.00369,0.79467,0.64415,0.72582,0.51272,1.23463,0.84124,0.00539,0.00101237,0.00101237,0.00101237
